,product_title,pack_size,product_price,rating_count
0,Lemnos Cream Cheese With Cracked Pepper,125 g,$4.12,(0)
1,Tradition Scottish Matured White Cheddar,250 g,$9.31,(1)
2,Tradition UK Extra Matured Cheddar,250 g,$9.85,(0)
3,Bannister Downs All Lite Fresh Milk - Australia - Chilled,1 L,$5.94,(0)
4,Bannister Downs Farm Fresh Milk - Australia - Chilled,1 L,$5.94,(0)
5,CocoMax 100% Coconut Water - Case,24 × 500 ml,$43.20,(46)
6,Dove Beauty Nourishing Moisture Body Wash,1 L,$9.70,(306)
7,Knorr All In One Seasoning,300 g,$3.35,(45)
8,Enfamil A+ Stage 2 Infant Formula Baby Milk Powder (6M+),1.8 kg,$105.55,(56)
9,Naturel Canola Oil,2 L,$7.52,(246)
10,Dettol 4-in-1 Disinfectant Multi Surface Cleaner Lavender 2.5L,2.5 L,$8.45,(84)
11,NESCAFE GOLD Pure Soluble Coffee 200g (NEW),200 g,$13.06,(38)
12,Korean Jeju Mandarin Oranges,5 kg,$29.80,(15)
13,Red Seedless Grapes (Air-Flown),500 g,$4.90,(695)
14,Green Seedless Grapes (Air-Flown),500 g,$4.90,(542)
15,Prime Asia 2+1 Hass Avocados,3 per pack,$4.95,(519)
16,RedMart Korean Maehyang Strawberries,250 g,$7.45,(231)
17,GIVVO Broccolini,160 g,$3.95,(169)
18,Kaviari Lumpfish Roe Black,100 g,$11.50,(10)
19,Woodmansterne Pack Of 5 Cards - Stacks Of Presents,5 per pack,$12.00,(0)
20,Sainsbury's Taste The Difference Iced Fruit Cake Bar - Christmas Special,400 g,$7.90,(9)
21,Artwrap Christmas Boxed Cards,10 per pack,$6.90,(1)
22,Casillero del Diablo Cabernet Sauvignon [Festive Giftpack],750 ml,$24.05,(16)
23,Artwrap Christmas Gift Tags,10 per pack,$4.90,(0)
24,Veuve Clicquot Yellow Label Champagne - Case + 6 Free Glasses,6 × 750 ml,$417.40,(2)
25,Terrazas Altos Del Plata Chardonnay 2017,750 ml,$28.90,(0)
26,Gordon's Gin,700 ml,$44.90,(17)
27,Glenmorangie Original,750 ml,$88.20,(4)
28,Terrazas Altos Del Plata Cabernet Sauvignon 2017,750 ml,$28.90,(0)
29,Cloudy Bay Sauvignon Blanc Twin Pack,2 × 750 ml,$84.00,(2)
30,Mackie's Venison And Cranberry Ridgecut Potato Crisps - Christmas Special,150 g,$3.71,(0)
31,CADBURY Dairy Milk Little Robins Bag - Christmas Special,93 g,$2.62,(0)
32,Cadbury Winter Wonderland Chocolate Bar - Christmas Special,100 g,$2.40,(2)
33,Cadbury Small Selection Chocolate Pack - Christmas Special,95 g,$3.52,(0)
34,Fox's Vinnie's Biscuits Selection - Christmas Special,365 g,$7.16,(2)
35,Lindt Lindor Mini Truffles - Christmas Special,100 g,$3.67,(3)
36,Evian Natural Mineral Water - Case (12 x 1.25L),12 × 1.25 L,$29.90,(281)
37,Evian Natural Mineral Water Case,24 × 330 ml,$30.90,(55)
38,Badoit Green Sparkling Water 30s - Case,30 × 330 ml,$35.84,(4)
39,Evian Natural Mineral Water Case,24 × 500 ml,$38.80,(53)
40,Evian Natural Mineral Water Disney Mickey 90th Anniversary - Case,24 × 310 ml,$50.15,(2)
41,Volvic Natural Mineral Water Case,24 × 500 ml,$25.07,(42)
42,Pampers Premium Care Pants XL - Case,4 × 30 per pack,$75.11,(121)
43,Dynamo Power Gel Anti-Bacterial Laundry Detergent,2.7 L,$8.94,(538)
44,Pantene Hair Fall Control Shampoo,750 ml,$8.95,(106)
45,Tide Original Scent HE Turbo Clean Laundry Detergent,1.47 L,$9.49,(48)
46,Pampers Premium Care Tape Diapers M - Case,4 × 48 per pack,$75.10,(67)
47,Whisper Ultra Clean Night Wing Sanitary Pads 32CM,14 per pack,$6.90,(78)
48,RedMart Traditional Roast Turkey (5.4kg - 6.3kg When Uncooked),1 per pack,$67.96,(0)
49,RedMart Classic Turkey Gravy,300 g,$6.00,(4)
50,RedMart Rosemary Infused Roast Turkey (5.4kg - 6.3kg When Uncooked),1 per pack,$67.96,(3)
51,RedMart Luxury Spiced Cranberry Sauce,250 g,$7.50,(4)
52,RedMart Sage And Onion Stuffing,300 g,$6.00,(0)
53,RedMart Chicken Lasagne (2019 New and Improved Recipe),1 kg,$17.55,(5)
54,Cadbury Panned Assorted,300 g,$10.90,(0)
55,Cadbury Dairy Milk Packed With Crunchie,180 g,$5.20,(4)
56,Oreo Mini Oreo Original Sharepack,10 × 20.4 g,$4.50,(122)
57,Cadbury Panned Almond,300 g,$10.90,(0)
58,Toblerone Mini Milk Chocolate,200 g,$4.20,(67)
59,CADBURY Gift Box,220 g,$12.90,(1)
60,Haagen-Dazs Caramel Creme Brulee Mochi Ice Cream,474 ml,$14.45,(13)
61,Haagen-Dazs Disney Frozen Favourite Selection Ice Cream,4 × 100 ml,$17.90,(26)
62,Haagen-Dazs Vanilla Caramel and Chocolate Almond Ice Cream Cones Multipack,3 × 91 ml,$12.51,(4)
63,Haagen-Dazs Disney Frozen Chocoholic Moments Ice Cream,4 × 100 ml,$17.90,(45)
64,Meri Meri Let'S Explore Cups - By ToTT,12 per pack,$7.92,(0)
65,Mye Beech-Oiled Wooden Rectangle Serving Board With Hole Handle - By ToTT,1 per pack,$51.90,(0)
66,CGS Shiny Polka Dots Triangle Bunting JQ80249 (Gold),1 per pack,$4.00,(0)
67,Echo Mini Bamboo Plate With Handle - Bamboo Serving Board,1 per pack,$3.00,(0)
68,Boska Small Tapas Cheese Board L24XW15XH1.5 Cm - Amigo - By ToTT,1 per pack,$12.90,(0)
69,"Meri Meri 9"" Hexagon Plates Toot Sweet Gold Stripes - By ToTT",1 per pack,$9.28,(0)
70,Pro Plan Adult Small Sensitive Skin,2.5 kg,$37.80,(4)
71,Ginger and Bear Dog Toy - Toss And Float - Large - Mocha,1 per pack,$25.20,(0)
72,Absolute Bites 100% Real Veal Spare Ribs 380g Dog Treats,380 g,$28.80,(6)
73,EzyDog Vario 6 Leash 25 S Chocolate,1 kg,$63.00,(0)
74,Sheba Tuna And Snapper In Gravy Wet Cat Food - Case,24 × 85 g,$31.92,(3)
